DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"38549",38549,Mk10,06:07:18 29-Apr-2014,,B,B,61.01750183,-177.39416504,CRC 8987.55343,04:00:00 29-May-2014,Behavior,178,49,185,122,64,0,227,38,133,112,38,128,100,11,64,58,4,100,92,1,64,37,2,240,17,1,136,12,0,0,0,
"38549",38549,Mk10,07:20:59 29-Apr-2014,,L,B,60.99000168,-177.34805298,CRC 54441.38147,06:00:00 05-Apr-2014,DiveDepth,61,74,153,10,111,129,246,9,1,104,5,96,100,11,64,59,4,32,26,5,196,29,2,208,14,161,106,49,0,16,0,
"38549",38549,Mk10,08:34:39 29-Apr-2014,,A,B,60.98055649,-177.12971497,CRC 48751.35878,,Percent,251,230,249,62,198,0,121,2,128,72,7,248,164,14,0,49,5,138,218,0,19,249,255,158,61,12,190,70,233,242,247,
"38549",38549,Mk10,09:36:49 29-Apr-2014,,R,B,60.99944305,-176.92361450,CRC 64259.47007,,,143,176,60,58,66,8,234,117,125,46,89,127,211,14,127,206,176,188,139,238,134,37,25,9,52,204,107,249,195,52,131,
"38549",38549,Mk10,10:40:10 29-Apr-2014,,L,B,60.98361206,-176.97721863,CRC 18564.40438,08:45:00 29-Apr-2014,Behavior,180,136,73,58,139,64,218,28,65,16,7,64,146,8,128,53,132,16,68,1,124,20,130,176,13,128,196,17,0,0,0,
"38549",38549,Mk10,10:44:34 29-Apr-2014,,L,B,60.98361206,-176.97721863,CRC 39649.29421,08:22:00 29-Apr-2014,Behavior,185,174,25,58,133,128,208,40,65,16,7,209,66,8,128,57,8,16,130,3,225,57,10,86,6,230,69,55,91,72,63,
"38549",38549,Mk10,19:26:26 29-Apr-2014,,L,A,60.79138947,-176.10028076,CRC 41375.45844,09:30:00 29-Apr-2014,Behavior,186,25,249,58,151,129,190,7,1,160,4,177,192,9,128,28,64,16,106,3,164,14,5,16,29,0,112,22,128,228,57,
"38549",38549,Mk10,19:35:45 29-Apr-2014,,L,A,60.79138947,-176.10028076,CRC 18564.16983,08:45:00 29-May-2014,Behavior,180,136,73,122,139,64,218,24,65,80,7,66,152,62,170,85,211,2,67,132,171,47,34,1,144,1,132,166,84,180,90,
"38549",38549,Mk10,19:50:53 29-Apr-2014,,B,B,60.81916809,-176.26943970,CRC 23373.4688,07:59:00 29-Apr-2014,Behavior,181,180,217,58,126,192,230,4,131,32,206,176,84,9,0,54,14,16,68,129,188,104,130,10,213,98,225,140,123,154,230,
"38549",38549,Mk10,19:50:53 29-Apr-2014,,K,B,60.79722214,-176.08082581,CRC 23373.47459,07:59:00 29-Apr-2014,Behavior,181,180,217,58,126,192,230,4,130,32,198,176,84,9,0,54,14,16,68,1,180,104,130,64,96,156,38,85,114,40,214,
"38549",38549,Mk10,19:55:49 29-Apr-2014,,K,B,60.79722214,-176.08082581,CRC 43486.36752,07:36:00 29-Apr-2014,Behavior,186,157,233,58,121,0,242,10,129,48,7,112,84,10,0,60,130,32,78,1,176,9,2,144,13,128,40,22,128,23,55,
