DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"39498",39498,Mk10,DS,3,0,0,90,90,02:00:06 27-Apr-2014,N,0,60.67277908,-178.14305115,,,,,401677346,,
"39498",39498,Mk10,DS,2,0,0,90,90,02:00:51 27-Apr-2014,K,B,60.67416763,-178.12971497,,,,,401677346,,
"39498",39498,Mk10,DS,4,0,0,164,84,02:22:44 27-Apr-2014,P,0,60.67444611,-178.02221680,,,,,401677407,,
"39498",39498,Mk10,DS,2,0,2,210,210,02:37:39 27-Apr-2014,A,B,60.67277908,-178.14639282,,,,,401677457,,
"39498",39498,Mk10,DS,1,0,0,,,02:49:28 27-Apr-2014,L,B,60.67916489,-178.02888489,,,,,401677464,,
"39498",39498,Mk10,DS,4,0,1,155,84,03:43:04 27-Apr-2014,K,1,60.71277618,-178.22305298,,,,,401677454,,
"39498",39498,Mk10,DS,3,0,0,117,84,03:41:40 27-Apr-2014,N,A,60.88249969,-177.83694458,,,,,401677348,,
"39498",39498,Mk10,DS,1,0,0,,,05:12:55 27-Apr-2014,B,B,60.73305511,-178.26194763,,,,,401677440,,
"39498",39498,Mk10,DS,2,0,0,494,494,05:25:33 27-Apr-2014,K,B,60.73638916,-178.26445007,,,,,401677441,,
"39498",39498,Mk10,DS,3,0,0,45,45,05:40:09 27-Apr-2014,R,A,60.78361130,-178.26055908,,,,,401677452,,
"39498",39498,Mk10,DS,5,0,1,45,45,06:06:32 27-Apr-2014,L,1,60.80138779,-178.25138855,,,,,401677456,,
"39498",39498,Mk10,DS,4,0,1,107,83,06:47:41 27-Apr-2014,B,2,60.80555725,-178.29083252,,,,,401677453,,
"39498",39498,Mk10,DS,6,0,1,90,90,07:16:20 27-Apr-2014,R,1,60.81000137,-178.30639648,,,,,401677424,,
"39498",39498,Mk10,DS,7,0,0,90,90,07:30:35 27-Apr-2014,A,1,60.81222153,-178.27055359,,,,,401677413,,
"39498",39498,Mk10,DS,8,0,0,90,90,07:44:50 27-Apr-2014,L,1,60.80250168,-178.28027344,,,,,401677396,,
"39498",39498,Mk10,DS,5,0,2,135,90,08:30:08 27-Apr-2014,B,1,60.80749893,-178.27528381,,,,,401677375,,
"39498",39498,Mk10,DS,4,0,0,150,90,09:00:35 27-Apr-2014,R,1,60.80805588,-178.30221558,,,,,401677350,,
"39498",39498,Mk10,DS,6,0,0,108,90,09:11:50 27-Apr-2014,A,3,60.80277634,-178.28555298,,,,,401677348,,
"39498",39498,Mk10,DS,6,0,1,90,90,09:32:50 27-Apr-2014,L,3,60.79861069,-178.28334045,,,,,401677347,,
"39498",39498,Mk10,DS,3,0,1,90,90,10:38:50 27-Apr-2014,R,A,60.79527664,-178.27777100,,,,,401677358,,
"39498",39498,Mk10,DS,1,0,1,,,10:59:50 27-Apr-2014,A,B,60.80361176,-178.28944397,,,,,401677370,,
"39498",39498,Mk10,DS,1,0,1,,,11:08:50 27-Apr-2014,L,B,60.80722046,-178.34416199,,,,,401677369,,
"39498",39498,Mk10,DS,2,0,1,90,90,12:17:05 27-Apr-2014,R,B,60.79805374,-178.27999878,,,,,401677352,,
"39498",39498,Mk10,DS,1,0,0,,,00:00:21 28-Apr-2014,K,B,60.81138992,-178.42195129,,,,,401677267,,
"39498",39498,Mk10,DS,5,0,1,112,90,00:07:06 28-Apr-2014,N,3,60.82694626,-178.37527466,,,,,401677274,,
"39498",39498,Mk10,DS,8,0,1,102,90,00:32:42 28-Apr-2014,P,1,60.82749939,-178.39111328,,,,,401677268,,
"39498",39498,Mk10,DS,5,0,1,90,90,00:37:06 28-Apr-2014,A,1,60.83555603,-178.38722229,,,,,401677266,,
"39498",39498,Mk10,DS,5,0,1,90,90,00:55:51 28-Apr-2014,L,2,60.83166504,-178.38250732,,,,,401677261,,
"39498",39498,Mk10,DS,3,0,3,135,90,01:33:21 28-Apr-2014,B,A,60.83277893,-178.39277649,,,,,401677274,,
"39498",39498,Mk10,DS,5,0,0,112,90,01:34:51 28-Apr-2014,K,2,60.84055710,-178.37333679,,,,,401677281,,
"39498",39498,Mk10,DS,6,0,0,108,90,01:45:21 28-Apr-2014,N,3,60.83889008,-178.37666321,,,,,401677279,,
"39498",39498,Mk10,DS,4,0,0,90,90,02:14:36 28-Apr-2014,P,3,60.83889008,-178.37277222,,,,,401677285,,
"39498",39498,Mk10,DS,3,0,2,135,90,02:16:51 28-Apr-2014,A,A,60.84166718,-178.36889648,,,,,401677287,,
"39498",39498,Mk10,DS,3,0,2,90,90,02:36:21 28-Apr-2014,L,A,60.84500122,-178.37167358,,,,,401677289,,
"39498",39498,Mk10,DS,7,0,0,90,90,03:16:51 28-Apr-2014,K,2,60.84527588,-178.38528442,,,,,401677292,,
"39498",39498,Mk10,DS,7,0,1,105,90,03:22:51 28-Apr-2014,N,2,60.85166550,-178.36944580,,,,,401677296,,
"39498",39498,Mk10,DS,4,0,1,90,90,03:56:36 28-Apr-2014,A,1,60.82611084,-178.39805603,,,,,401677309,,
"39498",39498,Mk10,DS,4,0,0,104,52,05:35:04 28-Apr-2014,A,1,60.86305618,-178.40527344,,,,,401677454,,
"39498",39498,Mk10,DS,2,0,0,44,44,05:58:00 28-Apr-2014,L,B,60.86694336,-178.41360474,,,,,401677445,,
"39498",39498,Mk10,DS,3,0,2,90,90,06:38:51 28-Apr-2014,K,A,60.87916565,-178.44944763,,,,,401677410,,
"39498",39498,Mk10,DS,6,0,2,108,90,06:50:21 28-Apr-2014,R,2,60.88194275,-178.41444397,,,,,401677402,,
"39498",39498,Mk10,DS,5,0,0,112,90,07:10:21 28-Apr-2014,A,3,60.88639069,-178.42916870,,,,,401677406,,
"39498",39498,Mk10,DS,6,0,0,108,90,07:38:51 28-Apr-2014,L,3,60.89055634,-178.42778015,,,,,401677403,,
"39498",39498,Mk10,DS,4,0,1,120,90,08:09:59 28-Apr-2014,B,3,60.89250183,-178.43305969,,,,,401677403,,
"39498",39498,Mk10,DS,4,0,0,150,90,08:29:51 28-Apr-2014,R,3,60.89527893,-178.43222046,,,,,401677403,,
"39498",39498,Mk10,DS,1,0,1,,,09:00:01 28-Apr-2014,A,B,60.90000153,-178.44000244,,,,,401677450,,
"39498",39498,Mk10,DS,2,0,1,45,45,09:17:09 28-Apr-2014,L,B,60.90277863,-178.44139099,,,,,401677458,,
"39498",39498,Mk10,DS,1,0,0,,,10:06:23 28-Apr-2014,R,B,60.91027832,-178.44055176,,,,,401677408,,
"39498",39498,Mk10,DS,6,0,0,126,90,00:20:10 29-Apr-2014,P,0,60.94555664,-178.42250061,,,,,401677275,,
"39498",39498,Mk10,DS,4,0,3,150,90,00:15:22 29-Apr-2014,A,1,60.93722153,-178.37222290,,,,,401677275,,
"39498",39498,Mk10,DS,4,0,0,120,90,00:43:07 29-Apr-2014,L,1,60.94805527,-178.40916443,,,,,401677271,,
"39498",39498,Mk10,DS,3,0,0,90,90,01:12:22 29-Apr-2014,K,2,60.95972061,-178.40110779,,,,,401677279,,
"39498",39498,Mk10,DS,1,0,0,,,01:12:22 29-Apr-2014,K,B,60.94777679,-178.47193909,,,,,401677273,,
