DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"66928",66928,Mk10,00:52:08 26-Apr-2014,Argos,1,60.62111282,-178.09333801,898,4759,169,86,,,,,
"66928",66928,Mk10,01:23:51 26-Apr-2014,Argos,B,60.62222290,-178.09416199,1856,3904,881,92,,,,,
"66928",66928,Mk10,01:23:51 26-Apr-2014,Argos,B,60.62305450,-178.09500122,1905,4402,824,89,,,,,
"66928",66928,Mk10,02:15:30 26-Apr-2014,Argos,B,60.62277603,-178.09388733,2535,5242,1225,91,,,,,
"66928",66928,Mk10,02:25:05 26-Apr-2014,Argos,A,60.61388779,-178.08778381,180,495,65,98,,,,,
"66928",66928,Mk10,02:32:28 26-Apr-2014,Argos,2,60.61722183,-178.07388306,444,847,232,86,,,,,
"66928",66928,Mk10,02:58:46 26-Apr-2014,Argos,1,60.62555695,-178.07861328,897,2436,330,84,,,,,
"66928",66928,Mk10,02:59:49 26-Apr-2014,Argos,B,60.63222122,-178.10166931,408,1482,112,92,,,,,
"66928",66928,Mk10,03:53:03 26-Apr-2014,Argos,A,60.63472366,-178.06388855,158,393,63,77,,,,,
"66928",66928,Mk10,04:05:19 26-Apr-2014,Argos,2,60.63360977,-178.06639099,323,2606,39,82,,,,,
"66928",66928,Mk10,04:34:15 26-Apr-2014,Argos,B,60.63305664,-178.08139038,401,593,270,59,,,,,
"66928",66928,Mk10,04:41:59 26-Apr-2014,Argos,B,60.63222122,-178.08222961,603,975,372,67,,,,,
"66928",66928,Mk10,05:35:21 26-Apr-2014,Argos,B,60.63555527,-178.07638550,440,927,209,86,,,,,
"66928",66928,Mk10,05:35:21 26-Apr-2014,Argos,B,60.64166641,-178.04695129,532,1094,258,89,,,,,
"66928",66928,Mk10,06:13:05 26-Apr-2014,Argos,B,60.65694427,-178.02667236,639,1799,227,79,,,,,
"66928",66928,Mk10,06:16:24 26-Apr-2014,Argos,B,60.70083237,-178.01943970,315,887,111,80,,,,,
"66928",66928,Mk10,06:19:43 26-Apr-2014,Argos,B,60.63499832,-178.07861328,537,1057,273,85,,,,,
"66928",66928,Mk10,07:49:38 26-Apr-2014,Argos,B,60.64194489,-178.07556152,899,1728,467,85,,,,,
"66928",66928,Mk10,07:49:38 26-Apr-2014,Argos,B,60.63777924,-178.07833862,902,1762,461,85,,,,,
