; Created by WC-DAP 3.0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeployID,Ptt,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
33236,33236,Argos,Mk10,TAD,8/13/2010 17:00,5,4,0,,,,11,162,16,84,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/13/2010 18:00,5,4,0,,,,11,269,73.6,26.4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/13/2010 21:00,5,4,0,,,,11,359,61,37.9,0.6,0.3,0.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/14/2010 0:00,5,5,0,,,,11,360,8.6,59.7,26.4,5.3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/14/2010 3:00,5,2,0,,,,11,270,8.5,75.2,15.9,0.4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/14/2010 6:00,5,4,0,,,,11,359,16.7,61,5.3,1.9,3.3,11.1,0.6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/14/2010 9:00,5,7,0,,,,11,270,21.9,71.5,1.5,0.4,1.9,1.1,1.1,0.7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/14/2010 12:00,5,8,0,,,,11,536,17.9,44.8,3.9,2.8,9,17.5,1.9,1.3,0.6,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/14/2010 15:00,5,3,0,,,,11,360,17.5,60.8,7.2,1.1,1.4,1.1,1.9,1.7,1.7,4.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/14/2010 18:00,5,3,0,,,,11,360,42.8,53.3,0.6,0,0.3,0.3,0.6,0.3,0.6,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/14/2010 21:00,5,5,0,,,,11,272,12.1,82,3.3,0.4,0,0.4,0.4,0.4,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/15/2010 0:00,5,1,0,,,,11,271,12.5,80.1,5.2,0.4,0.4,0.4,0.4,0.4,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/15/2010 3:00,5,1,0,,,,11,361,43.2,50.4,1.7,0.3,0.3,0.8,0.3,0.6,0.6,0.6,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
