DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"37909",37909,Mk10,05:20:04 27-Apr-2014,Argos,1,60.65250015,-178.10667419,507,5819,44,90,,,,,
"37909",37909,Mk10,05:20:04 27-Apr-2014,Argos,B,60.63583374,-178.01638794,954,14532,62,99,,,,,
"37909",37909,Mk10,05:20:48 27-Apr-2014,Argos,B,60.63666534,-178.02221680,946,13652,65,99,,,,,
"37909",37909,Mk10,05:42:00 27-Apr-2014,Argos,1,60.64777756,-178.12416077,937,2687,326,97,,,,,
"37909",37909,Mk10,05:54:34 27-Apr-2014,Argos,2,60.64305496,-178.10610962,381,719,201,93,,,,,
"37909",37909,Mk10,06:01:29 27-Apr-2014,Argos,B,60.64305496,-178.10610962,366,721,186,91,,,,,
"37909",37909,Mk10,06:51:11 27-Apr-2014,Argos,B,60.64305496,-178.10610962,745,1489,372,90,,,,,
"37909",37909,Mk10,07:22:04 27-Apr-2014,Argos,1,60.65499878,-178.07000732,716,5859,87,98,,,,,
"37909",37909,Mk10,07:30:19 27-Apr-2014,Argos,1,60.65499878,-178.10417175,1029,7044,150,86,,,,,
"37909",37909,Mk10,07:30:19 27-Apr-2014,Argos,2,60.66305542,-178.06222534,358,1208,105,77,,,,,
"37909",37909,Mk10,07:45:16 27-Apr-2014,Argos,1,60.66083145,-178.04194641,1442,5334,389,78,,,,,
"37909",37909,Mk10,08:30:16 27-Apr-2014,Argos,2,60.66583252,-178.02944946,381,4453,32,80,,,,,
"37909",37909,Mk10,09:00:11 27-Apr-2014,Argos,2,60.66166687,-178.07472229,408,1104,150,86,,,,,
"37909",37909,Mk10,09:16:19 27-Apr-2014,Argos,2,60.65555573,-178.07221985,268,991,72,77,,,,,
"37909",37909,Mk10,09:30:15 27-Apr-2014,Argos,A,60.65499878,-178.07194519,225,947,53,86,,,,,
"37909",37909,Mk10,12:48:15 27-Apr-2014,Argos,2,60.63444519,-178.06195068,392,627,244,90,,,,,
"37909",37909,Mk10,00:06:47 28-Apr-2014,Argos,2,60.70083237,-178.14416504,405,813,201,115,,,,,
"37909",37909,Mk10,00:32:14 28-Apr-2014,Argos,0,60.71500015,-178.13360596,3409,39988,290,79,,,,,
"37909",37909,Mk10,00:37:35 28-Apr-2014,Argos,1,60.70527649,-178.17472839,817,2396,278,81,,,,,
"37909",37909,Mk10,00:55:55 28-Apr-2014,Argos,A,60.71444321,-178.15472412,1207,2890,503,99,,,,,
"37909",37909,Mk10,01:34:03 28-Apr-2014,Argos,B,60.71583176,-178.11805725,451,1008,201,93,,,,,
"37909",37909,Mk10,01:39:11 28-Apr-2014,Argos,2,60.71749878,-178.15805054,251,797,79,90,,,,,
"37909",37909,Mk10,01:45:47 28-Apr-2014,Argos,1,60.72833252,-178.12693787,763,1913,304,75,,,,,
"37909",37909,Mk10,01:45:47 28-Apr-2014,Argos,B,60.71500015,-178.12083435,417,1023,169,89,,,,,
"37909",37909,Mk10,02:15:51 28-Apr-2014,Argos,2,60.72944260,-178.12777710,474,632,355,81,,,,,
"37909",37909,Mk10,02:35:39 28-Apr-2014,Argos,B,60.72777939,-178.12361145,298,484,183,92,,,,,
"37909",37909,Mk10,03:13:47 28-Apr-2014,Argos,A,60.73666763,-178.12554932,267,1693,42,83,,,,,
"37909",37909,Mk10,03:22:35 28-Apr-2014,Argos,2,60.73805618,-178.11917114,390,1648,92,85,,,,,
"37909",37909,Mk10,03:56:19 28-Apr-2014,Argos,B,60.74222183,-178.09666443,587,1366,251,88,,,,,
"37909",37909,Mk10,04:12:27 28-Apr-2014,Argos,B,60.74027634,-178.10388184,813,1373,481,87,,,,,
"37909",37909,Mk10,04:57:11 28-Apr-2014,Argos,2,60.74583435,-178.10249329,281,970,81,94,,,,,
"37909",37909,Mk10,05:08:55 28-Apr-2014,Argos,B,60.74499893,-178.11193848,704,1414,350,114,,,,,
"37909",37909,Mk10,05:12:06 28-Apr-2014,Argos,A,60.73777771,-178.12416077,261,617,110,51,,,,,
"37909",37909,Mk10,05:36:47 28-Apr-2014,Argos,B,60.73805618,-178.12388611,296,670,130,73,,,,,
"37909",37909,Mk10,05:53:39 28-Apr-2014,Argos,3,60.74444580,-178.10888672,209,513,85,105,,,,,
"37909",37909,Mk10,06:28:17 28-Apr-2014,Argos,A,60.74361038,-178.10583496,164,411,65,91,,,,,
"37909",37909,Mk10,06:39:10 28-Apr-2014,Argos,A,60.74888992,-178.07278442,508,899,286,59,,,,,
"37909",37909,Mk10,06:53:51 28-Apr-2014,Argos,B,60.74388885,-178.10556030,268,576,124,90,,,,,
"37909",37909,Mk10,07:07:46 28-Apr-2014,Argos,B,60.74555588,-178.10194397,307,650,145,90,,,,,
"37909",37909,Mk10,07:38:30 28-Apr-2014,Argos,B,60.75999832,-178.11222839,382,1175,123,82,,,,,
"37909",37909,Mk10,08:10:01 28-Apr-2014,Argos,2,60.76805496,-178.10806274,262,2457,27,78,,,,,
"37909",37909,Mk10,08:30:32 28-Apr-2014,Argos,3,60.77111053,-178.11222839,216,653,71,69,,,,,
"37909",37909,Mk10,08:50:02 28-Apr-2014,Argos,B,60.77750015,-178.11000061,295,1454,59,75,,,,,
"37909",37909,Mk10,00:17:04 29-Apr-2014,Argos,B,60.95222092,-178.05583191,994,4787,206,118,,,,,
"37909",37909,Mk10,00:19:16 29-Apr-2014,Argos,3,60.91444397,-178.02749634,239,2046,27,76,,,,,
"37909",37909,Mk10,00:44:12 29-Apr-2014,Argos,A,60.92083359,-178.02082825,257,800,82,97,,,,,
"37909",37909,Mk10,01:55:20 29-Apr-2014,Argos,A,60.94388962,-178.00277710,898,1967,409,99,,,,,
"37909",37909,Mk10,02:21:00 29-Apr-2014,Argos,A,60.94861221,-177.99888611,218,632,75,94,,,,,
"37909",37909,Mk10,02:53:16 29-Apr-2014,Argos,3,60.94610977,-177.99916077,158,499,49,88,,,,,
"37909",37909,Mk10,03:16:44 29-Apr-2014,Argos,2,60.95388794,-177.98138428,323,1497,69,86,,,,,
"37909",37909,Mk10,03:35:48 29-Apr-2014,Argos,B,60.96777725,-177.99583435,562,1038,304,92,,,,,
"37909",37909,Mk10,04:03:40 29-Apr-2014,Argos,B,60.95444489,-177.98027039,1048,1900,577,85,,,,,
"37909",37909,Mk10,04:33:15 29-Apr-2014,Argos,2,60.97027588,-177.96333313,344,1247,94,89,,,,,
"37909",37909,Mk10,04:37:11 29-Apr-2014,Argos,1,60.95639038,-178.03111267,1211,2735,536,113,,,,,
"37909",37909,Mk10,05:17:30 29-Apr-2014,Argos,B,60.96111298,-178.04972839,1464,2862,748,96,,,,,
"37909",37909,Mk10,05:47:05 29-Apr-2014,Argos,B,60.96222305,-178.05416870,2307,8068,659,101,,,,,
"37909",37909,Mk10,06:07:47 29-Apr-2014,Argos,B,60.96361160,-178.05860901,2346,8864,620,101,,,,,
"37909",37909,Mk10,06:17:40 29-Apr-2014,Argos,B,61.01166534,-178.04972839,4496,30025,673,98,,,,,
"37909",37909,Mk10,06:47:16 29-Apr-2014,Argos,3,61.00833511,-177.92555237,173,395,76,84,,,,,
"37909",37909,Mk10,07:19:29 29-Apr-2014,Argos,A,61.01972198,-177.91499329,240,439,130,82,,,,,
"37909",37909,Mk10,07:42:23 29-Apr-2014,Argos,3,61.02472305,-177.91166687,209,988,44,80,,,,,
"37909",37909,Mk10,07:57:48 29-Apr-2014,Argos,3,61.03055573,-177.91166687,204,589,70,99,,,,,
"37909",37909,Mk10,08:28:40 29-Apr-2014,Argos,2,61.03610992,-177.91416931,304,1923,48,82,,,,,
"37909",37909,Mk10,00:01:09 30-Apr-2014,Argos,B,61.08333206,-177.94860840,2864,6635,1235,92,,,,,
"37909",37909,Mk10,00:03:55 30-Apr-2014,Argos,2,61.03111267,-178.15750122,359,2194,58,74,,,,,
"37909",37909,Mk10,00:33:02 30-Apr-2014,Argos,1,61.03916550,-178.20361328,871,1772,427,64,,,,,
"37909",37909,Mk10,01:23:49 30-Apr-2014,Argos,2,61.04305649,-178.18833923,304,540,171,69,,,,,
"37909",37909,Mk10,01:36:17 30-Apr-2014,Argos,B,61.04249954,-178.18916321,384,755,195,88,,,,,
"37909",37909,Mk10,01:51:06 30-Apr-2014,Argos,B,61.04916763,-178.18139648,366,1575,85,104,,,,,
"37909",37909,Mk10,02:09:57 30-Apr-2014,Argos,B,61.04555511,-178.18888855,776,1766,340,100,,,,,
"37909",37909,Mk10,02:28:32 30-Apr-2014,Argos,2,61.06138992,-178.22193909,442,993,196,84,,,,,
"37909",37909,Mk10,03:06:52 30-Apr-2014,Argos,2,61.07110977,-178.22444153,386,1933,76,85,,,,,
"37909",37909,Mk10,03:15:13 30-Apr-2014,Argos,1,61.06833267,-178.23554993,880,3077,251,91,,,,,
"37909",37909,Mk10,03:52:37 30-Apr-2014,Argos,A,61.08305740,-178.25750732,991,3178,309,86,,,,,
"37909",37909,Mk10,04:06:33 30-Apr-2014,Argos,B,61.08277893,-178.24249268,1742,4487,676,91,,,,,
"37909",37909,Mk10,04:06:55 30-Apr-2014,Argos,2,61.09027863,-178.26972961,421,3839,46,82,,,,,
"37909",37909,Mk10,04:47:23 30-Apr-2014,Argos,1,61.10083389,-178.27221680,517,748,357,110,,,,,
"37909",37909,Mk10,04:53:29 30-Apr-2014,Argos,1,61.09944534,-178.27833557,1190,3262,434,112,,,,,
