DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue
"38549",38549,0.500000,Mk10,,03:45:46 29-Apr-2014,03:45:27 29-Apr-2014,-18,,,,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,03:59:34 29-Apr-2014,03:59:15 29-Apr-2014,-18,,,,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,14:59:13 29-Apr-2014,14:58:55 29-Apr-2014,-17,B,60.85889053,-176.56443787,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,17:15:26 29-Apr-2014,17:15:08 29-Apr-2014,-17,0,60.82527924,-176.37944031,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,23:44:23 29-Apr-2014,23:44:05 29-Apr-2014,-17,0,60.81111145,-175.76472473,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,07:06:23 30-Apr-2014,07:06:06 30-Apr-2014,-16,A,60.68805695,-175.04249573,,0,0,,1189,3.120,,,-1.30,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,09:07:18 30-Apr-2014,09:07:00 30-Apr-2014,-17,B,60.62638855,-174.91082764,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,01:11:52 01-May-2014,01:11:35 01-May-2014,-16,2,60.33194351,-174.07695007,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,05:26:31 01-May-2014,05:26:14 01-May-2014,-16,B,60.32694626,-173.98611450,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,01:36:16 02-May-2014,01:35:59 02-May-2014,-16,A,60.03194427,-173.38389587,,0,0,,1829,3.184,,,-0.70,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,04:54:46 02-May-2014,04:54:29 02-May-2014,-16,B,59.98944473,-173.26527405,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,13:10:04 02-May-2014,13:09:47 02-May-2014,-16,B,59.79639053,-172.80583191,CRC,0,0,,,,1.016,0.280,,2.5,94.0,-5,,,,,,,,,,,19,255,80,,,,,,,
"38549",38549,0.500000,Mk10,,01:19:51 03-May-2014,01:19:35 03-May-2014,-15,1,59.84444427,-172.39389038,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,02:34:23 03-May-2014,02:34:07 03-May-2014,-15,0,59.83972168,-172.38082886,,0,0,,2213,3.120,,,-0.80,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,03:52:06 03-May-2014,03:51:50 03-May-2014,-15,B,59.82805634,-172.36778259,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,06:33:46 03-May-2014,06:33:30 03-May-2014,-15,1,59.81000137,-172.29138184,CRC,0,0,,,,1.024,0.308,,2.5,84.0,-5,,,,,,,,,,,19,255,80,,,,,,,
"38549",38549,0.500000,Mk10,,03:30:39 04-May-2014,03:30:23 04-May-2014,-15,A,59.67944336,-171.56611633,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,14:18:27 05-May-2014,14:18:12 05-May-2014,-14,B,59.37749863,-170.40750122,,0,0,,3109,3.248,,,-1.10,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,16:12:32 05-May-2014,16:12:17 05-May-2014,-14,1,59.32027817,-170.27888489,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,17:31:16 05-May-2014,17:31:01 05-May-2014,-14,1,59.31361008,-170.27806091,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,00:13:14 06-May-2014,00:12:59 06-May-2014,-14,1,59.29083252,-169.91333008,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,01:13:04 06-May-2014,01:12:49 06-May-2014,-14,B,59.28722382,-169.88777161,,0,0,,3237,3.120,,,-0.70,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,02:25:54 06-May-2014,02:25:40 06-May-2014,-13,B,59.29249954,-169.88638306,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,03:38:54 06-May-2014,03:38:40 06-May-2014,-13,1,59.20527649,-169.83250427,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,03:49:06 07-May-2014,03:48:52 07-May-2014,-13,A,58.75555420,-169.12583923,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,09:10:30 07-May-2014,09:10:16 07-May-2014,-13,A,58.69749832,-168.94639587,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,04:04:04 08-May-2014,04:03:50 08-May-2014,-13,2,58.66611099,-168.18417358,,0,0,,4005,3.120,,,1.00,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,06:23:24 08-May-2014,06:23:10 08-May-2014,-13,2,58.60083389,-168.23138428,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,13:47:25 08-May-2014,13:47:12 08-May-2014,-12,2,58.60638809,-167.98666382,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,01:18:30 09-May-2014,01:18:16 09-May-2014,-13,A,58.64888763,-168.19667053,,0,0,,4261,3.184,,,0.30,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,15:11:20 09-May-2014,15:11:07 09-May-2014,-12,2,58.72750092,-168.43833923,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,01:36:09 10-May-2014,01:35:56 10-May-2014,-12,1,58.69861221,-168.49667358,,0,0,,4645,3.184,,,1.20,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,08:02:39 10-May-2014,08:02:27 10-May-2014,-11,B,58.70249939,-168.47972107,,0,0,,4773,3.120,,,0.60,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,18:22:56 10-May-2014,18:22:44 10-May-2014,-11,1,58.72249985,-168.47138977,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,03:20:35 11-May-2014,03:20:22 11-May-2014,-12,B,59.01777649,-168.42832947,,0,0,,5029,3.184,,,0.30,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,04:57:53 11-May-2014,04:57:40 11-May-2014,-12,1,59.04611206,-168.29916382,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,07:02:12 11-May-2014,07:01:59 11-May-2014,-12,A,59.08777618,-168.10861206,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,01:26:35 12-May-2014,01:26:23 12-May-2014,-11,A,59.57361221,-166.74139404,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,19:43:11 12-May-2014,19:42:59 12-May-2014,-11,1,60.00916672,-167.44749451,CRC,0,0,,,,1.024,0.244,,3.0,52.0,-7,,,,,,,,,,,19,255,80,,,,,,,
"38549",38549,0.500000,Mk10,,01:04:22 13-May-2014,01:04:11 13-May-2014,-10,2,60.07972336,-167.98777771,,0,0,,5669,3.184,,,1.20,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,03:58:58 13-May-2014,03:58:47 13-May-2014,-10,A,60.16916656,-168.16221619,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,06:03:37 13-May-2014,06:03:26 13-May-2014,-10,1,60.27750015,-168.21305847,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,07:58:44 13-May-2014,07:58:32 13-May-2014,-11,1,60.35138702,-168.27499390,,0,0,,5797,3.184,,,1.20,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,14:06:53 13-May-2014,14:06:42 13-May-2014,-10,1,60.51777649,-168.36749268,,0,0,,5925,3.184,,,1.10,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,15:45:31 13-May-2014,15:45:20 13-May-2014,-10,A,60.59138870,-168.34388733,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,18:21:06 13-May-2014,18:20:55 13-May-2014,-10,B,60.67388916,-168.23722839,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,01:44:17 14-May-2014,01:44:05 14-May-2014,-11,B,60.96694565,-167.84638977,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,11:41:09 14-May-2014,11:40:58 14-May-2014,-10,A,61.21333313,-166.88082886,,0,0,,6181,3.184,,,1.70,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,01:21:31 15-May-2014,01:21:20 15-May-2014,-10,3,61.43416595,-166.06639099,CRC,1,0,,,,1.040,0.260,,-2.0,30.0,-3,,,,,,,,,,,18,255,80,,,,,,,
"38549",38549,0.500000,Mk10,,02:55:01 15-May-2014,02:54:49 15-May-2014,-11,1,61.45666504,-166.02833557,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38549",38549,0.500000,Mk10,,03:42:29 15-May-2014,03:42:17 15-May-2014,-11,3,61.44749832,-166.09445190,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
