DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"66949",66949,Mk10,05:15:03 15-Apr-2014,,K,B,60.41444397,-177.01194763,Likely MiniPAT,05:09:21 15-Apr-2014,Status,0,17,38,82,85,189,142,,,,,,,,,,,,,,,,,,,,,,,,,
"66949",66949,Mk10,06:49:34 15-Apr-2014,,L,B,60.41333389,-177.01527405,CRC 54562.14115,02:30:00 10-May-2014,Behavior,189,82,41,84,39,156,125,104,169,148,216,14,8,193,49,171,34,196,6,168,230,135,215,238,147,193,153,91,19,67,60,
"66949",66949,Mk10,10:12:35 15-Apr-2014,,R,B,60.43500137,-177.07417297,CRC 54661.35150,08:57:00 02-Jan-2014,Behavior,189,88,88,68,142,81,49,255,242,13,10,80,196,121,123,176,125,165,12,8,128,60,78,160,17,1,215,20,200,34,0,
"66949",66949,Mk10,10:12:35 15-Apr-2014,,L,B,60.43527603,-177.07527161,CRC 54587.1645,01:20:00 16-Jun-2014,Behavior,189,83,185,160,21,9,39,176,84,36,34,79,80,229,66,32,62,210,134,4,64,30,39,80,8,128,235,138,100,17,0,
"66949",66949,Mk10,14:38:30 15-Apr-2014,,N,B,60.44722366,-177.07804871,CRC 38143.29786,11:00:00 15-Apr-2014,Behavior,185,79,249,30,176,0,246,58,128,37,11,113,212,0,194,69,143,160,69,83,30,69,130,164,27,241,172,12,144,0,0,
"66949",66949,Mk10,15:03:37 15-Apr-2014,,R,B,60.44666672,-177.07360840,CRC 52352.62203,09:21:00 15-Apr-2014,Behavior,188,200,9,30,149,120,6,139,22,169,48,2,4,108,4,64,106,5,24,154,0,32,81,165,20,2,30,83,132,168,0,
"66949",66949,Mk10,15:14:05 15-Apr-2014,,R,B,60.44666672,-177.07360840,CRC 1997.14387,12:29:00 15-Apr-2014,Behavior,176,124,217,30,199,120,1,1,93,50,128,197,136,245,54,7,36,161,82,44,4,153,156,70,216,42,122,152,214,48,0,
"66949",66949,Mk10,18:31:35 15-Apr-2014,,R,3,60.53055573,-176.95611572,CRC 30562.22420,13:00:00 15-Apr-2014,DivePDT,151,118,41,30,221,192,253,0,192,212,135,200,54,14,36,89,223,16,42,2,150,73,138,49,31,114,108,148,136,0,0,
"66949",66949,Mk10,19:48:05 15-Apr-2014,,N,2,60.53472137,-176.95971680,CRC 54527.21569,11:00:00 15-May-2014,Behavior,189,79,249,94,176,0,246,58,128,37,11,113,212,0,192,69,143,160,69,83,30,69,130,164,27,241,172,28,144,0,0,
"66949",66949,Mk10,20:04:35 15-Apr-2014,,P,1,60.52916718,-176.98138428,Too short,,Behavior,183,118,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66949",66949,Mk10,20:06:05 15-Apr-2014,,P,1,60.52916718,-176.98138428,CRC 32113.62834,,Behavior,183,215,25,31,211,2,214,45,48,94,67,142,21,130,43,24,80,236,6,77,82,226,32,5,0,104,184,0,115,64,0,
"66949",66949,Mk10,20:40:35 15-Apr-2014,,L,3,60.53944397,-177.01445007,CRC 27247.56970,07:38:00 15-Apr-2014,Behavior,182,166,249,30,121,184,18,194,132,12,176,41,51,72,105,128,16,24,18,44,22,73,149,192,255,255,242,248,125,0,1,
"66949",66949,Mk10,21:22:35 15-Apr-2014,,N,2,60.54194260,-177.00750732,CRC 3406.3398,10:13:00 15-Apr-2014,Behavior,176,212,233,30,163,120,19,11,74,129,48,41,50,116,125,2,165,22,160,44,1,128,160,1,96,138,165,48,19,3,165,
"66949",66949,Mk10,21:25:35 15-Apr-2014,,N,2,60.54194260,-177.00750732,CRC 10189.18343,08:29:00 15-Apr-2014,Behavior,178,124,217,30,135,120,1,1,93,50,128,197,152,245,20,135,49,172,115,152,119,152,227,185,22,198,42,140,70,54,80,
"66949",66949,Mk10,00:43:11 16-Apr-2014,,B,B,60.54472351,-177.13250732,CRC 27247.22314,07:38:00 15-Apr-2012,Behavior,182,166,241,30,121,184,18,66,132,12,178,41,51,72,105,128,16,24,18,108,22,73,149,208,224,17,41,124,62,128,0,
"66949",66949,Mk10,03:08:41 16-Apr-2014,,K,3,60.57527924,-177.19721985,CRC 30562.11807,13:55:00 15-Jun-2014,Behavior,183,118,41,158,221,192,253,0,192,212,135,200,54,14,36,89,207,48,42,2,150,73,130,17,23,114,236,20,136,0,0,
"66949",66949,Mk10,08:00:29 16-Apr-2014,,A,B,60.58861160,-177.30917358,CRC 1997.27592,,Behavior,176,124,216,30,167,120,1,1,95,50,128,193,170,21,211,247,202,80,91,130,99,187,156,123,238,143,15,220,189,48,23,
"66949",66949,Mk10,09:40:30 16-Apr-2014,,R,B,60.58416748,-177.33666992,CRC 25229.20175,07:06:00 16-Apr-2014,Behavior,182,40,217,32,113,130,131,68,64,61,119,90,31,64,107,100,232,178,3,91,31,229,16,36,121,126,18,129,38,64,0,
"66949",66949,Mk10,13:15:42 16-Apr-2014,,P,1,60.53277588,-177.51777649,CRC 41354.34722,,DiveDuration,74,24,163,157,212,116,148,44,20,218,182,63,49,118,121,115,227,121,232,2,251,98,177,193,162,125,253,206,168,107,183,
"66949",66949,Mk10,16:36:54 16-Apr-2014,,P,B,60.51610947,-177.64054871,CRC 44073.52529,,Behavior,186,194,152,42,165,85,85,85,85,85,80,170,177,87,224,14,170,204,15,85,137,226,26,26,136,238,142,68,1,21,84,
"66949",66949,Mk10,21:55:36 16-Apr-2014,,A,B,60.46416855,-177.92195129,CRC 54511.28301,,Behavior,189,78,249,62,176,0,246,58,128,37,11,113,212,0,224,69,143,160,101,82,26,69,130,164,27,225,164,24,144,0,7,
