DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"66978",66978,Mk10,DS,9,0,0,49,44,03:36:16 29-Apr-2014,A,0,61.01111221,-177.58166504,,,,,401677280,,
"66978",66978,Mk10,DS,2,0,1,89,89,03:42:50 29-Apr-2014,P,,,,,,,,401650000,,
"66978",66978,Mk10,DS,1,0,0,,,04:03:36 29-Apr-2014,L,B,61.01027679,-177.57499695,,,,,401677272,,
"66978",66978,Mk10,DS,3,0,0,145,123,04:35:30 29-Apr-2014,K,A,61.02500153,-177.59304810,,,,,401677312,,
"66978",66978,Mk10,DS,3,0,1,211,167,04:38:32 29-Apr-2014,R,A,61.02111053,-177.60833740,,,,,401677311,,
"66978",66978,Mk10,DS,4,2,1,,,05:03:25 29-Apr-2014,N,1,61.04222107,-177.67832947,,,,,401677296,,
"66978",66978,Mk10,DS,1,0,1,,,05:03:25 29-Apr-2014,N,B,61.02305603,-177.61582947,,,,,401677291,,
"66978",66978,Mk10,DS,3,2,0,,,05:14:47 29-Apr-2014,A,A,61.00638962,-177.59722900,,,,,401677291,,
"66978",66978,Mk10,DS,9,5,2,,,05:39:29 29-Apr-2014,L,1,61.00916672,-177.57916260,,,,,401677306,,
"66978",66978,Mk10,DS,4,0,3,118,89,06:07:10 29-Apr-2014,B,2,61.05389023,-177.57749939,,,,,401677285,,
"66978",66978,Mk10,DS,3,1,0,,,06:13:50 29-Apr-2014,K,A,61.03972244,-177.58610535,,,,,401677288,,
"66978",66978,Mk10,DS,7,5,0,,,06:19:02 29-Apr-2014,R,3,61.04972076,-177.58694458,,,,,401677285,,
"66978",66978,Mk10,DS,3,1,0,,,06:49:47 29-Apr-2014,A,A,61.05722046,-177.57804871,,,,,401677316,,
"66978",66978,Mk10,DS,5,2,0,,,07:21:13 29-Apr-2014,L,2,61.06388855,-177.57388306,,,,,401677316,,
"66978",66978,Mk10,DS,2,0,0,89,89,07:44:02 29-Apr-2014,B,B,61.05916595,-177.58222961,,,,,401677305,,
"66978",66978,Mk10,DS,15,4,2,,,07:58:52 29-Apr-2014,R,3,61.06722260,-177.55917358,,,,,401677299,,
"66978",66978,Mk10,DS,4,0,0,158,90,09:02:35 29-Apr-2014,L,2,61.06666565,-177.51805115,,,,,401677299,,
"66978",66978,Mk10,DS,3,0,2,159,44,09:28:00 29-Apr-2014,B,A,61.06416702,-177.52082825,,,,,401677315,,
"66978",66978,Mk10,DS,6,1,1,,,09:36:10 29-Apr-2014,R,2,61.07194519,-177.52055359,,,,,401677310,,
"66978",66978,Mk10,DS,3,0,3,178,89,10:12:30 29-Apr-2014,A,A,61.06694412,-177.51527405,,,,,401677300,,
